slug,title_en,title_ru,recovery_status,set_slugs
10-cell-flashlight,10-Cell Flashlight,Фонарь на 10 батареек,full_page,the-clown-wars
1000-gold-pieces,"1,000 Gold Pieces",1000 голдов,full_page,munchkin
1001-arabian-knights,"1,001 Arabian Knights",1001 арабский сын,full_page,munchkin-knights
13-breed,1/3-Breed,Три В Одном,full_page,cheat-with-both-hands
15-year-supply-of-beer-and-toilet-paper,15-Year Supply of Beer and Toilet Paper,Запас пива и туалетной бумаги на 15 лет,full_page,apocalypse|munchkin-apocalypse
2-×-4,2 × 4,Доска,full_page,armed-and-dangerous
357-magnum,.357 Magnum,357-й магнум,full_page,apocalypse|munchkin-apocalypse
3872-dorks,"3,872 Dorks",3.872 придорка,full_page,munchkin-zombies
3872-orcs,"3,872 Orcs",3872 орка,full_page,munchkin
45-caliber-epaulets,.45-Caliber Epaulets,Эполеты 45-го калибра,set_listing_only,munchkin-steampunk
5-to-sexterity,+5 to Sexterity /,,full_page,munchkin-the-guild
50-cal,.50-Cal,Эхкалиб(у)р,full_page,apocalypse|munchkin-apocalypse
50-caliber-tulip,.50 Caliber Tulip,"Пестик ""Тюльпан"" 50-го калибра",full_page,munchkin-booty
9mm-pistol,9mm Pistol,Девятимиллиметровый пистолет,full_page,sheep-impact
a-cute-angel,A Cute Angel,Косой ангел,full_page,half-horse-will-travel
a-drone-of-your-own,A Drone of Your Own,Дрон боевой,full_page,apocalypse|munchkin-apocalypse
a-matic,...A-Matic,Автоматический,full_page,the-need-for-steed
a-mite-bewildered,A Mite Bewildered /,,full_page,the-good-the-bad-and-the-munchkin
a-tyrannotillion-dollars,A Tyrannotillion Dollars /,,full_page,axe-cop|munchkin-axe-cop
a-word-in-stygia,A Word In Stygia /,,full_page,munchkin-conan
abomination,Abomination,Мразота,full_page,apocalypse|munchkin-apocalypse
abra-cadaver,Abra-Cadaver!,,set_listing_only,munchkin-undead
abraham-lincoln,Abraham Lincoln /,,full_page,axe-cop|munchkin-axe-cop
absinthe,Absinthe /,,full_page,pants-macabre
absolute-zero,Absolute Zero,Абсолютный ноль,full_page,the-clown-wars
accidentally-killed-a-good-guy,Accidentally Killed A Good Guy! /,,full_page,axe-cop|munchkin-axe-cop
accidentally-off-a-sidekick,Accidentally Off A Sidekick,Случайная утрата напарника,full_page,super-munchkin
accursed,Accursed,Проклятый,full_page,munchkin-booty
