comment_id,title,author,created_at,text,comment_url,source_page
2,Огромное спасибо за дельную,rectioprisal,2012-02-24T16:33:46Z,"Огромное спасибо за дельную информацию, много интересного узнал для себя. Кое-где можно было бы поконкретнее, а в вообщем подана информация очень доступно.",https://munchkindb.ru/comment/2#comment-2,https://munchkindb.ru/card/guy-wire
3,Снять курицу можно:1.,mrmerak,2012-04-19T12:16:56Z,"Снять курицу можно:
1. хотельным кольцом
2. умереть с говняком. Если без - курица остается
3 если выпадает проклятие потеря головняка, то курица снимается в любом случае вместе с головняком(неважно есть или нету головняка)
4 если выпадает непотребство потеря головняка. Правила те же, что и в случае 3",https://munchkindb.ru/comment/3#comment-3,https://munchkindb.ru/card/chicken-on-your-head
4,Все верно. Акцентированы,eltacimi,2012-06-04T18:26:42Z,"Все верно. Акцентированы интересные тонкости, здорово!",https://munchkindb.ru/comment/4#comment-4,https://munchkindb.ru/card/boomdagger
5,"Тема нешуточная, и требует",tiabracmocons,2012-06-08T21:10:52Z,"Тема нешуточная, и требует более серьезного рассмотрения. Надеюсь увидим в дальнейших статьях.",https://munchkindb.ru/comment/5#comment-5,https://munchkindb.ru/card/high
6,Очень четко и реалистично,appalukbarb,2012-06-14T21:54:33Z,Очень четко и реалистично изложен материал. Обзоры свежие и увлекательные.,https://munchkindb.ru/comment/6#comment-6,https://munchkindb.ru/card/hidden-dragon
7,Не понятно почему называется,Kostan_Kettch,2012-09-16T20:59:01Z,"Не понятно почему называется ""Зелье.."", если это ""Scroll..."" т.е. ""Свиток...""",https://munchkindb.ru/comment/7#comment-7,https://munchkindb.ru/card/scroll-of-debuffination
11,"Можно удалить, поскольку об",kotya,2012-11-23T23:54:43Z,"Можно удалить, поскольку об этом написано в рулинге ""FAQ Класс, Раса, Подданство, Акцент"" (но тогда нужно добавить в тэги того рулинга ещё и Стиль, Развитие Стиля, Моджо, Сила, Навык).",https://munchkindb.ru/comment/11#comment-11,https://munchkindb.ru/ruling/%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D0%B5%D0%B9-%D1%80%D0%B0%D1%81%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%BE%D0%B2%D1%81%D1%82%D0%B8%D0%BB%D0%B5%D0%B9-%D0%B8-%D1%82%D0%BF
12,система рулингов вооще,Moldon,2012-11-24T10:58:00Z,"система рулингов вооще требует переработки. некоторые рулинги надо переделать, примерно так как сейчас переделали рулинг ""FAQ монстры"". Чтобы очень общие рулинги не торчали целиков на каждой странице каждой карты, а была только ссылка.",https://munchkindb.ru/comment/12#comment-12,https://munchkindb.ru/ruling/%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D0%B5%D0%B9-%D1%80%D0%B0%D1%81%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%BE%D0%B2%D1%81%D1%82%D0%B8%D0%BB%D0%B5%D0%B9-%D0%B8-%D1%82%D0%BF
13,А вот у меня этой карт нет,Esmodar,2012-12-17T20:42:58Z,А вот у меня этой карт нет почему-то,https://munchkindb.ru/comment/13#comment-13,https://munchkindb.ru/card/zombie-santa
14,возврат предыдущей редакции,Moldon,2012-12-17T21:33:23Z,возврат предыдущей редакции,https://munchkindb.ru/comment/14#comment-14,https://munchkindb.ru/card/decaying-flab
16,"Совсем не жалею, что убил 10",contiamani,2013-01-18T10:41:50Z,"Совсем не жалею, что убил 10 минут на чтение. Очень полезно для общего развития.",https://munchkindb.ru/comment/16#comment-16,https://munchkindb.ru/card/limburger-and-anchovy-sandwich
22,Козел отпущения - это кто-то,olga,2013-05-14T00:21:11Z,Козел отпущения - это кто-то кто расхлебывает все последствия от чего-либо. Интересует как действует - эта карта в отношении катастроф? Переводит ли она действие катастрофы на другого манчкина (козла отпущения)?,https://munchkindb.ru/comment/22#comment-22,https://munchkindb.ru/card/scapegoat
23,"Нет, не переводит. На карте",kotya,2013-05-14T18:53:53Z,"Нет, не переводит. На карте написано, какой эффект получает ""козёл отпущения"", ничего другого с ним не происходит.",https://munchkindb.ru/comment/23#comment-23,https://munchkindb.ru/card/scapegoat
24,Пост был 24 февраля 2011 года,kotya,2013-06-24T23:32:23Z,"Пост был 24 февраля 2011 года. А в FAQ от 15 ноября 2012 года сказано:
В: А если мне нужно выбирать между несколькими картами и одна из них - ""Ура, Клад!""?
О: Если нужно вытянуть карты и выбрать одну их них и одной из этих карт будет ""Ура, Клад!"", то ""Ура, Клад!"" не играется до тех пор, пока ты не выбрешь именно его. Выбрал – немедленно сыграй.",https://munchkindb.ru/comment/24#comment-24,https://munchkindb.ru/ruling/%D0%B4%D0%B5%D0%BB%D1%91%D0%B6-%D1%81%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%89-%D1%81%D1%80%D0%B0%D0%B1%D0%B0%D1%82%D1%8B%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D0%BD%D0%B5%D0%BC%D0%B5%D0%B4%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE
25,"Ответили официально, что этот",kotya,2013-06-25T16:33:45Z,"Ответили официально, что этот пункт относится лишь к свойству Барда: http://forums.sjgames.com/showpost.php?p=1602658",https://munchkindb.ru/comment/25#comment-25,https://munchkindb.ru/ruling/%D0%B4%D0%B5%D0%BB%D1%91%D0%B6-%D1%81%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%89-%D1%81%D1%80%D0%B0%D0%B1%D0%B0%D1%82%D1%8B%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D0%BD%D0%B5%D0%BC%D0%B5%D0%B4%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE
26,"ребята, я нифига не понял как",Moldon,2013-06-26T20:48:47Z,"ребята, я нифига не понял как и в какой ситуации в итоге правильно.",https://munchkindb.ru/comment/26#comment-26,https://munchkindb.ru/ruling/%D0%B4%D0%B5%D0%BB%D1%91%D0%B6-%D1%81%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%89-%D1%81%D1%80%D0%B0%D0%B1%D0%B0%D1%82%D1%8B%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D0%BD%D0%B5%D0%BC%D0%B5%D0%B4%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE
