slug,title,text,related_card_slugs
faq-гадкая-парочка-двойной-удар-и-тд,"FAQ Гадкая Парочка, Двойной Удар и тд","Что происходит, если на монстра сыграли Гадкую Парочку или я сыграл Доппельгангера, после чего меня подрезали или кто-то сыграл зелье на одну из сторон?
Гадкая Парочка не удваивает ничего, кроме Модификаторов монстров (мы ввели это правило в 19м издании чтобы облегчить всем жизнь). Доппельгангер это точная копия игрока – по идее, вам нужно посчитать его боевую силу и удвоить ее.


Некоторые карты (Волшебная Лампа, Иллюзия, Зелье Попуморфа и тд) позволяют вывести из боя ОДНОГО монстра. Выходит ли из боя его Парочка (или другие его родственники из дополнений)? Другими словами, Гадкая Парочка – это модификатор, как Старикан или отдельный монстр, как введенный в бой при помощи Бродячей Твари?
Парочка – это отдельный монстр. То есть у вас теперь два монстра, от каждого из которых нужно избавляться отдельно. Если вы сыграли карту «вывода из боя» до того, как кто-то сыграл Парочку, то монстра, к которому присоединилась бы Парочка, уже нет и Парочку играть нельзя.",
faq-класс-раса-подданство-акцент,"FAQ Класс, Раса, Подданство, Акцент","FAQ по Классам, Расам, Подданствам, Акцентам и т.п.",
faq-монстры,FAQ Монстры,FAQ по монстрам,
faq-одноразовая-шмотка,FAQ Одноразовая Шмотка,"В бою я использую одноразовую Шмотку, а кто-то Проклятьем или Воровством пытается от нее избавиться. Бонус остается?
Воровать во время боя нельзя. Проклятьем можно уничтожить вашу шмотку, но если вы уже сыграли ее в бой, то она уже не ваша, и проклясть ее нельзя.
В какой момент карты из игры идут в сброс? Например, во время боя я использую одноразовую шмотку – ее надо сразу сбросить или как?
Одноразовые карты не идут в сброс до конца боя.

Все шмотки, на которых написано «одноразовая», работают как Зелья?
Все одноразовые шмотки (на которых написано «использовать один раз») могут играться прямо с руки, если не сказано обратного (и на данный момент исключений нет).",
faq-проклятия,FAQ Проклятия,FAQ по Проклятиям,
faq-разовые-шмотки,FAQ Разовые Шмотки,FAQ по разовым шмоткам,
faq-следопуты,FAQ Следопуты,"Получаю ли я сокровища и уровни, если приручаю монстра?
Нет, манчкин. Ты ведь не убил его.
Если я сражаюсь с несколькими монстрами, когда происходит приручение?
В первую очередь; твой новый скакун будет помогать тебе против оставшихся в бою монстров.
Когда я приручаю монстра, что случается с моим старым Скакуном?
То же, что и случается, когда ты заменяешь старого Скакуна новым: сбрось старого.
 
Считается ли приручённый  Скакун большой шмоткой?
Поскольку у него нет цены и надписи ""Нет цены"", он не шмотка и на него не оказывают эффекта карты, влияющие не шмотки. Тем не менее, на него распространяются все правила для Скакунов.
 
Когда я сбрасываю приручённого монстра, что происходит с картой?
Она отправляется в сброс дверей. Это больше не Скакун, а снова монстр.
Останется ли со мной приручённый монстр, если я перестану быть Следопытом?
Конечно.
Если на монстра до того, как я его приручил, были сыграны зелья, усилители и т.д., что с ними произойдёт?
Приручение Скакуна подобно Усмирению Волшебником, так что разовые шмотки (если этот монстр в бою был один), усилители и т.д. сбрасываются. (На форуме встречаются противоречивые толкования этого, но вот официальный ответ.)",ranger
faq-сыграть-немедленно,FAQ Сыграть Немедленно,"Мне нужно вытянуть две карты, после чего сбросить одну из них. Что делать, если на одной из карт написано «сыграть немедленно» («клад», «божественное вмешательство» и т.п)
Эффект вступает в силу, если вы решили оставить карту именно с этим эффектом. Если же карта с таким эффектом сбрасывается, значит карта в игре не появилась и эффект в силу не вступил.",
faq-шмотки,FAQ Шмотки,FAQ по шмоткам,
gual-на-другого-игрока-faq,GUAL на другого игрока (FAQ),"Могу ли я сыграть карту «Получи Уровень» на другого игрока – например, что бы монстр перестал им брезговать?
Изначальный смысл этих карт был в другом, но это настолько подло и по-манчкински, что мы не можем сказать «нет». То есть вы можете играть карты «Получи Уровень» на других игроков. Но, так же как и в случае игры этой карты на себя, манчкин должен иметь возможность получить этот уровень. Вы не можете играть такую карту на манчкина, если он может получить уровень, только убив монстра.",
mate-изменения-19-го-тиража,Mate Изменения 19-го тиража,Удваивает только Модификаторы Монстров. Убран штраф на смывку,
Усилители-скакунов,Усилители скакунов,"На скакунов нельзя играть обычные усилители шмоток, только специальные усилители скакунов. На каждого скакуна можно сыграть любое количество усилителей скакуна [пруф].",
безумия,Безумия,Безумия считаются картами в игре [пруф].,
