slug,title,listed_card_count
adventure-time,Adventure Time,1
apocalypse,Apocalypse,155
apocalypse-2-sheep-impact,Munchkin Apocalypse 2 – Sheep Impact,0
apocalypse-mars-attacks,Munchkin Apocalypse: Mars Attacks!,0
armed-and-dangerous,Armed and Dangerous,104
axe-cop,Axe Cop,145
beating-a-dead-horse,Beating a Dead Horse,53
boosters,_boosters,0
call-of-cowthulhu,Call of Cowthulhu,55
cheat-with-both-hands,Cheat With Both Hands,80
clerical-errors,Clerical Errors,103
conan-the-barbarian,Conan the Barbarian,15
cosmic-chaos,Cosmic Chaos,0
crazed-caverns,Crazed Caverns,28
de-ranged,De-Ranged,105
demented-dungeon,Demented Dungeon,28
demented-dungeons,Demented Dungeons,28
diplomatic-impunity,Diplomatic Impunity,2
dragons-trike,Dragon's Trike,15
fairy-dust,Fairy Dust,15
faun-and-games,Faun and Games,3
fish-ships,Fish & Ships,15
gobsmacked,Gobsmacked!,0
half-horse-will-travel,"Half Horse, Will Travel",93
hideous-hideouts,Hideous Hideouts,28
its-a-dungeon-crawl,It's a Dungeon Crawl!,2
judge-dredd,Judge Dredd,0
jump-the-shark,Jump the Shark,97
kobolds-ate-my-baby,Kobolds Ate My Baby,0
legands-2-faun-and-games,Munchkin Legends 2 – Faun and Games,0
legends-3-myth-prints,Munchkin Legends 3 – Myth Prints,0
love-shark-baby,Love Shark Baby,0
mars-attacks,Mars Attacks!,0
marvel,Marvel,0
marvel-edition,Marvel Edition,2
marvel-edition-promo,Marvel Edition Promo,0
monky-business,Monky Business,101
monster-enhancers,Monster Enhancers,14
moops-monster-mashup,Moop's Monster Mashup,3
munchkin,Munchkin,147
munchkin-0,_Munchkin,0
munchkin-adventure-time,Munchkin Adventure Time,3
munchkin-adventure-time-2-its-a-dungeon-crawl,Munchkin Adventure Time 2 – It's a Dungeon Crawl!,0
munchkin-adventure-time-promo,Munchkin Adventure Time Promo,0
munchkin-apocalypse,Munchkin Apocalypse,155
munchkin-apocalypse-promo,Munchkin Apocalypse Promo,0
munchkin-axe-cop,Munchkin Axe Cop,145
munchkin-bites,Munchkin Bites!,155
munchkin-bites-0,_Munchkin Bites!,0
munchkin-bites-promo,Munchkin Bites! Promo,0
munchkin-booty,Munchkin Booty,148
munchkin-booty-0,_Munchkin Booty,0
munchkin-booty-promo,Munchkin Booty Promo,0
munchkin-christmas-lite,Munchkin Christmas Lite,2
munchkin-christmas-promo,Munchkin Christmas Promo,0
munchkin-conan,Munchkin Conan,147
munchkin-conan-promo,Munchkin Conan Promo,0
munchkin-cthulhu,Munchkin Cthulhu,149
munchkin-cthulhu-0,_Munchkin Cthulhu,0
munchkin-cthulhu-promo,Munchkin Cthulhu Promo,0
munchkin-curses,Munchkin Curses,0
munchkin-dragons,Munchkin Dragons,15
munchkin-easter-eggs,Munchkin Easter Eggs,15
munchkin-fairy-dust,Munchkin Fairy Dust,15
munchkin-fu,Munchkin Fu,149
munchkin-fu-0,_Munchkin Fu,0
munchkin-fu-promo,Munchkin Fu Promo,0
munchkin-grimm-tidings,Munchkin Grimm Tidings,0
munchkin-hipsters,Munchkin Hipsters,28
munchkin-impossible,Munchkin Impossible,148
munchkin-impossible-promo,Munchkin Impossible Promo,0
munchkin-kittens,Munchkin Kittens,30
munchkin-knights,Munchkin Knights,15
munchkin-legends,Munchkin Legends,147
munchkin-legends-promo,Munchkin Legends Promo,0
munchkin-naughty-nice,Munchkin Naughty & Nice,15
munchkin-oz,Munchkin Oz,5
munchkin-pathfinder,Munchkin Pathfinder,145
munchkin-pathfinder-gobsmacked,Munchkin Pathfinder: Gobsmacked!,0
munchkin-pathfinder-promo,Munchkin Pathfinder Promo,0
munchkin-penny-arcade,Munchkin Penny Arcade,15
munchkin-princesses,Munchkin Princesses,14
munchkin-promo,Munchkin Promo,21
munchkin-puppies,Munchkin Puppies,0
munchkin-reloaded,Munchkin Reloaded!,6
munchkin-skullkickers,Munchkin Skullkickers,15
munchkin-steampunk,Munchkin Steampunk,156
munchkin-steampunk-promo,Munchkin Steampunk Promo,0
munchkin-the-guild,Munchkin The Guild,15
munchkin-the-nightmare-before-christmas,Munchkin The Nightmare Before Christmas,4
munchkin-tricky-treats,Munchkin Tricky Treats,15
munchkin-undead,Munchkin Undead,15
munchkin-valentines,Munchkin Valentines,4
munchkin-zombies,Munchkin Zombies,149
munchkin-zombies-0,_Munchkin Zombies,0
munchkin-zombies-promo,Munchkin Zombies Promo,0
munchkinomicon,Munchkinomicon,15
mystic-mayhem,Mystic Mayhem,0
myth-prints,Myth Prints,4
naughty-nice,Naughty & Nice,15
oz-promo,Oz Promo,0
pants-macabre,Pants Macabre,102
pathfinder-gobsmacked,Munchkin Pathfinder: Gobsmacked!,0
penny-arcade,Penny Arcade,15
reindeer-games,Reindeer Games,15
santas-revenge,Santa's Revenge,15
sheep-impact,Sheep Impact,90
skullkickers,Skullkickers,15
space-ships,Space Ships,15
spare-parts,Spare Parts,0
star-munchkin,Star Munchkin,147
star-munchkin-0,_Star Munchkin,0
star-munchkin-promo,Star Munchkin Promo,0
super-munchkin,Super Munchkin,157
super-munchkin-0,_Super Munchkin,0
super-munchkin-promo,Super Munchkin Promo,0
terrible-tombs,Terrible Tombs,28
the-clown-wars,The Clown Wars,100
the-good-the-bad-and-the-munchkin,The Good the Bad and the Munchkin,150
the-good-the-bad-and-the-munchkin-0,_The Good the Bad and the Munchkin,0
the-good-the-bad-and-the-munchkin-promo,The Good the Bad and the Munchkin Promo,0
the-narrow-s-cape,The Narrow S Cape,106
the-need-for-steed,The Need for Steed,111
the-unspeakable-vault,The Unspeakable Vault,56
the-walking-dead,The Walking Dead,0
truly-gobnoxious,Truly Gobnoxious,0
unnatural-axe,Unnatural Axe,102
waiting-for-santa,Waiting For Santa,15
yellow-brick-raid,Yellow Brick Raid,0
